,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
17,Jason Asenso,“60% of patients admitted to the hospital in the UK have been fully vaccinated”,Facebook posts,"July 30, 2021",false,FAKE,0
18,Bill McCarthy,Says D.C. police officer Michael Fanone is the same person who was arrested after carrying a Confederate flag through the U.S. Capitol on Jan. 6.,Instagram posts,"July 30, 2021",pants-fire,FAKE,0
19,Madison Czopek,The opening ceremony of the 2012 London Olympics predicted the COVID-19 pandemic.,Facebook posts,"July 30, 2021",pants-fire,FAKE,0
20,Ciara O'Rourke,“George Washington mandated smallpox vaccines for the Continental Army.”,Viral image,"July 30, 2021",mostly-true,FAKE,0
21,Ciara O'Rourke,“U.S. military holding White House for Trump’s return.”,Facebook posts,"July 30, 2021",pants-fire,FAKE,0
22,Tom Kertscher,"General Motors “admits the 'clean' energy used to charge electric cars comes from coal, 95% coal, to be exact.""",Facebook posts,"July 29, 2021",false,FAKE,0
23,Kelsey Sena,Photo shows the place where “the Atlantic Ocean and the Pacific Ocean face each other without mixing.”,Viral image,"• July 29,",false,FAKE,0
24,Ciara O'Rourke,"Photo shows Donald Trump supporters protesting Joe Biden’s visit to Allentown, Pa.",Viral image,"July 29, 2021",false,FAKE,0
25,Jon Greenberg,"“Thanks to the insane tax-and-spending spree of President Joe Biden and Democrats in Washington, we are seeing six straight months of raging inflation.”",Rick Scott,"July 29, 2021",barely-true,FAKE,0
26,Ciara O'Rourke,"Says Emmanuel Macron said, “I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.”",Viral image,"July 29, 2021",false,FAKE,0
27,Emily Tian,“Alert: Law enforcement and the Red Cross have advised that there are people going door to door indicating that they are authorized to do testing for Coronavirus.”,Facebook posts,"July 29, 2021",barely-true,FAKE,0
28,Ciara O'Rourke,"Says Marjorie Taylor Greene said, “Jesus loves the U.S. most and that is why the Bible is written in English.”",Facebook posts,"July 29, 2021",false,FAKE,0
29,Andy Nguyen,Ethylene oxide used in COVID-19 testing swabs “literally changes the structure of the building blocks of your own body.”,Facebook posts,"July 29, 2021",false,FAKE,0
30,Tom Kertscher,"Says Joe Biden “is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.”",Tweets,"July 28, 2021",barely-true,FAKE,0
31,Tom Kertscher,"“CDC quietly deletes 6,000 COVID vaccine deaths from its CDC website total in one day.”",Facebook posts,"July 28, 2021",barely-true,FAKE,0
32,Tom Kertscher,People charged in the Jan. 6 assault on the U.S. Capitol are “political prisoners” and “non-violent trespassers” who have been held in solitary confinement for the past six months.,Instagram posts,"July 28, 2021",barely-true,FAKE,0
33,Gabrielle Settles,"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",Facebook posts,"July 28, 2021",false,FAKE,0
34,Jason Asenso,"""Kansas City Chiefs QB Patrick Mahomes has left training camp and says he will ‘not play another down in the NFL’ until the team changes their name.”",Facebook posts,"July 28, 2021",pants-fire,FAKE,0
35,Tom Kertscher,“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,Erin Marie Olszewski,"July 27, 2021",pants-fire,FAKE,0
36,Bill McCarthy,There are “22 million illegal aliens living in America and ... voting illegally.”,Facebook posts,"July 27, 2021",false,FAKE,0
37,Monique Curet,Video montage shows Kamala Harris and others faking vaccination.,Facebook posts,"July 27, 2021",false,FAKE,0
38,Kelsey Sena,“Drivers with no DUIs are getting up to $610 back in savings.”,Facebook posts,"• July 27,",false,FAKE,0
39,Jason Asenso,“It makes no sense to require vaccinations for the previously infected.”,Facebook posts,"July 27, 2021",false,FAKE,0
40,Ciara O'Rourke,Says an NBC producer at the Olympics was caught on a hot mic saying “60% of people in this stadium will be dead within 10 days.”,Viral image,"July 27, 2021",false,FAKE,0
41,Madison Czopek,A photograph shows members of the U.S. women’s soccer team kneeling during the national anthem at the Tokyo Olympics.,Facebook posts,"July 26, 2021",false,FAKE,0
42,Tom Kertscher,"""People are being diagnosed with delta variant"" even though ""there is no delta variant test.""",Facebook posts,"July 26, 2021",barely-true,FAKE,0
43,Ciara O'Rourke,"“Child support card” in Delaware ""controls what mothers can and cannot buy with child support money.”",Viral image,"July 26, 2021",false,FAKE,0
44,Bill McCarthy,The government is “monitoring SMS texts for dangerous misinformation about COVID vaccines.”,Joe Rogan,"July 26, 2021",barely-true,FAKE,0
45,Tom Kertscher,"“Ambassador Susan Rice Tribunal, Gavin Newsom indicted.”",Facebook posts,"July 26, 2021",pants-fire,FAKE,0
46,Paul Specht,"""Lumber prices can be tied to the (Trump) administration’s actions.""",Alma Adams,"July 23, 2021",half-true,FAKE,0
47,Sasha Hupka,"“California has a personal belief exemption to any new vaccine added to the schedule after June 2015 for public and private daycare, preschool and K-12.”",Instagram posts,"July 23, 2021",false,FAKE,0
48,Louis Jacobson,"""The cost of an automobile, it's kind of back to what it was before the pandemic.""",Joe Biden,"July 23, 2021",false,FAKE,0
49,Jason Asenso,“Queen Elizabeth and her husband Prince Philip were found guilty in the disappearance of 10 native children from the Catholic-run Kamloops residential school”,Facebook posts,"July 23, 2021",pants-fire,FAKE,0
50,Emily Tian,"Referring to a destroyed brick mural of George Floyd, said it’s highly unusual for a brick wall to be destroyed by lightning.",Donald Trump Jr.,"July 23, 2021",false,FAKE,0
51,Emily Tian,“Coca-Cola has lost $4 bil in market value as people are boycotting Coke for their ‘try to be less White’ statement.”,Facebook posts,"July 23, 2021",false,FAKE,0
52,Amy Sherman,“This week the military was moving big equipment into the major big cities preparing for the Maricopa audit results.”,Facebook posts,"July 23, 2021",false,FAKE,0
53,Tom Kertscher,Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,TikTok posts,"July 23, 2021",false,FAKE,0
54,Jon Greenberg,"""Income taxes are voluntary.""",Facebook posts,"July 23, 2021",pants-fire,FAKE,0
55,Brandon Mulder,“Seventy four thousand... That’s how many mail-in ballots were recently found in Arizona that have NO clear record of being sent in.”,Texas GOP,"July 23, 2021",pants-fire,FAKE,0
56,Gabrielle Settles,The coronavirus can’t be so dangerous because there are no biohazard bins for COVID-19 masks and gloves.,Facebook posts,"July 22, 2021",false,FAKE,0
57,Louis Jacobson,"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",Joe Biden,"July 22, 2021",mostly-true,FAKE,0
58,Jon Greenberg,“President Biden says he wants to ban handguns.”,House Republicans,"July 22, 2021",false,FAKE,0
59,Amy Sherman,“You’re not going to get COVID if you have these vaccinations.”,Joe Biden,"July 22, 2021",half-true,FAKE,0
60,Natalie Dunlap,"“In South Dakota, I’m putting prayer back in our schools.”",Kristi Noem,"July 22, 2021",false,FAKE,0
61,Tom Kertscher,"“Arizona and Georgia now have the proof,” Joe Biden is “not our elected president!”",Viral image,"July 22, 2021",pants-fire,FAKE,0
62,Monique Curet,"“45,000 confirmed dead from the COVID-19 shots within three days… and they’ve covered it up.”",Instagram posts,"July 22, 2021",pants-fire,FAKE,0
63,Kelsey Sena,“Americans not vaccinated before 2022 will be put in camps”,Instagram posts,"• July 22,",pants-fire,FAKE,0
64,Warren Fiske,“Every Republican in Congress voted to defund the police when they voted against the American Rescue Plan.”,Bobby Scott,"July 22, 2021",false,FAKE,0
65,Tom Kertscher,"“If the shot actually saved lives, they’d be priced so high that you literally could not afford them, you know like insulin.”",Viral image,"July 21, 2021",false,FAKE,0
66,Jon Greenberg,Questions about whether she’s been vaccinated are “a violation of my HIPAA rights.”,Marjorie Taylor Greene,"July 21, 2021",false,FAKE,0
67,Ciara O'Rourke,“Canada prohibits all vaxxed pilots from flying.”,Bloggers,"July 21, 2021",false,FAKE,0
68,Ciara O'Rourke,Ex-AARP members wrote this letter criticizing the “Biden Regime.”,Facebook posts,"July 21, 2021",barely-true,FAKE,0
69,Ciara O'Rourke,Photo shows people protesting against “vaccine tyranny” in France.,Viral image,"July 21, 2021",false,FAKE,0
70,Madison Czopek,“You must give EVERY PENNY” of the advance child tax credit payments back when you file your 2021 taxes.,Tweets,"July 21, 2021",barely-true,FAKE,0
71,Tom Kertscher,"“Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival.”",Tomi Lahren,"July 21, 2021",barely-true,FAKE,0
72,Ciara O'Rourke,Five JetBlue pilots died from the COVID-19 vaccine.,Facebook posts,"July 21, 2021",false,FAKE,0
73,Jon Greenberg,Says “Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.”,Tweets,"July 20, 2021",false,FAKE,0
74,Ciara O'Rourke,“Some of you are being injected with saline because it would look too suspicious if everybody died at the same time.”,Viral image,"July 20, 2021",false,FAKE,0
75,Bill McCarthy,"“It now appears there actually was meaningful voter fraud in Fulton County, Georgia, last November. That is not a conspiracy theory. It's true.”",Tucker Carlson,"July 20, 2021",false,FAKE,0
76,Laura Schulte,"“A farm with 2,500 dairy cattle is similar in waste load to a city of 411,000 people.”",Jill Karofsky,"July 20, 2021",false,FAKE,0
77,Tom Kertscher,Says Donald Trump “won Arizona.”,Viral image,"July 20, 2021",false,FAKE,0
78,Ciara O'Rourke,Says Kayleigh McEnany is John F. Kennedy Jr.’s daughter.,Viral image,"July 20, 2021",false,FAKE,0
79,Kiannah Sepeda-Miller,"“You may be 55 years old in [Illinois] and a citizen and not eligible for Medicaid. But if you are an undocumented immigrant and 55 or older, you’re eligible for Medicaid.”",Terri Bryant,"July 20, 2021",false,FAKE,0
80,Tom Kertscher,"In the 2020 presidential election, “4,255 ballots in Fulton County, Georgia, were scanned multiple times” and “3,390 went to Biden.”",Facebook posts,"July 19, 2021",false,FAKE,0
81,Tom Kertscher,"""Biden concedes 6 million votes.""",Facebook posts,"July 19, 2021",pants-fire,FAKE,0
82,Kelsey Sena,"Olympic Village has cardboard beds “to prevent Olympians from having sex, and thus risk spreading (COVID-19).”",Tweets,"• July 19,",pants-fire,FAKE,0
83,Andy Nguyen,"Photo shows an electric car charging station that uses ""12 gallons of diesel fuel per hour, and it takes three hours to fully charge a car to get 200 miles. That's 36 gallons for 200 miles. 5.6 mpg.""",Facebook posts,"July 19, 2021",false,FAKE,0
84,Gabrielle Settles,U.S. sanctions mean “Cuba can’t trade with any country or any company whatsoever.”,Facebook posts,"July 19, 2021",false,FAKE,0
85,Ciara O'Rourke,A car flooded in Germany had a sticker critical of Greta Thunberg.,Viral image,"July 19, 2021",false,FAKE,0
86,Tom Kertscher,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",Donald Trump,"July 19, 2021",false,FAKE,0
87,Kelsey Sena,Protest video shows “resistance” to “President Macron’s plan for mandatory COVID vaccinations of all French citizens.”,Facebook posts,"• July 16,",false,FAKE,0
88,Katie Sanders,An image shows President Joe Biden touching Olivia Rodrigo’s shoulders during a White House press briefing.,Viral image,"July 16, 2021",pants-fire,FAKE,0
89,Brandon Mulder,"""There is clear legal authority to handcuff and put in leg irons legislators that are trying to stop the legislature from being able to do business.""",Ted Cruz,"July 16, 2021",false,FAKE,0
90,Sasha Hupka,"“Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.”",Facebook posts,"July 16, 2021",false,FAKE,0
91,Monique Curet,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,Facebook posts,"July 15, 2021",false,FAKE,0
92,Tom Kertscher,"""The government will be infiltrating” personal text messages.",Facebook posts,"July 15, 2021",false,FAKE,0
93,Amy Sherman,"New and proposed state laws on voting mean “if you are going to be standing in that line for all those hours, you can’t have any water or any food.”",Kamala Harris,"July 15, 2021",barely-true,FAKE,0
94,Kelsey Sena,"Post says a recent bill passed, and “We get another stimulus check for $2500 at July 30, 2021”",Facebook posts,"• July 15,",pants-fire,FAKE,0
95,Jason Asenso,Federal agents are going “door-to-door coercing people to be injected with experimental drugs.”,Instagram posts,"July 15, 2021",barely-true,FAKE,0
96,Monique Curet,Carbon dioxide “is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.”,Facebook posts,"July 15, 2021",false,FAKE,0
97,Paul Specht,Says “showing up at the front doors of people’s houses and violating HIPAA laws by requesting private medical information regarding their vaccination status is unacceptable and illegal.”,Mark Robinson,"July 14, 2021",false,FAKE,0
98,Tom Kertscher,"Says in February Facebook post that ""Britney won.""",Facebook posts,"July 14, 2021",barely-true,FAKE,0
99,Kelsey Sena,“BREAKING: Pennsylvania initiated a FULL audit of the RIGGED ELECTION”,Facebook posts,"• July 14,",false,FAKE,0
100,Paul Specht,“Over 75% of (North Carolina) supports medical marijuana.”,Wiley Nickel,"July 14, 2021",half-true,FAKE,0
101,Samantha Putterman,A bodyguard of a high-ranking Democrat in Congress fired the shot that killed Ashli Babbitt on Jan. 6.,Facebook posts,"July 14, 2021",false,FAKE,0
102,Gabrielle Settles,“There were no guns whatsoever” at the Capitol riot on Jan. 6.,Donald Trump,"July 13, 2021",false,FAKE,0
103,Louis Jacobson,"""In 2020, more people voted in America than ever in the history of America, in the middle of a once-in-a-century pandemic.""",Joe Biden,"July 13, 2021",mostly-true,FAKE,0
104,Ciara O'Rourke,Says CNN reported that Joe Biden authorized “a U.S. intervention in Haiti after the assassination of President Jovenel Moïse.”,Viral image,"July 13, 2021",false,FAKE,0
105,Samantha Putterman,Says this crowd video shows the ongoing protests in Cuba.,Tweets,"July 13, 2021",false,FAKE,0
106,Ciara O'Rourke,Says Haitian President Jovenel Moïse was going to “expose Clinton Foundation fraud” before he was assassinated.,Viral image,"July 13, 2021",pants-fire,FAKE,0
107,Tom Kertscher,Says Facebook imposes a 7% limit on a user’s sharing.,Viral image,"July 13, 2021",false,FAKE,0
108,Samantha Putterman,"Haiti, Tanzania and Madagascar refused the COVID-19 vaccines and now all three of their presidents have died unexpectedly.",Facebook posts,"July 12, 2021",false,FAKE,0
109,Ciara O'Rourke,“Lauren Boebert received a PPP loan for her restaurant.”,Facebook posts,"July 12, 2021",false,FAKE,0
110,Kelsey Sena,"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000.",Instagram posts,"• July 12,",false,FAKE,0
111,Emily Tian,Sudden Infant Death Syndrome “is absolutely a side effect of vaccination.”,Instagram posts,"July 12, 2021",false,FAKE,0
112,Samantha Putterman,A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,Facebook posts,"July 9, 2021",false,FAKE,0
113,Jason Asenso,"“In a now deleted Telegram post, former President Trump congratulated the Navy Seals on a ‘perfect beautiful whack’"" in Haiti.",Instagram posts,"July 9, 2021",false,FAKE,0
114,Louis Jacobson,"“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”",Joe Biden,"July 9, 2021",half-true,FAKE,0
115,Jon Greenberg,"""Crime is escalating to a level we haven’t seen in decades as a direct result of Democrats’ defund the police movement and Biden-Harris open-border policies.""",Republican National Committee,"July 9, 2021",false,FAKE,0
116,Samantha Putterman,"News organizations and sponsors ignored the accomplishments of Kim Rhode, a six-time Olympic medalist, because of her support of the Second Amendment.",Facebook posts,"July 9, 2021",false,FAKE,0
117,Andy Nguyen,"If COVID-19 was real, the Duke and Duchess of Cambridge wouldn’t have been “allowed to join 50,000 other football fans inside a stadium.""",Instagram posts,"July 9, 2021",false,FAKE,0
118,Ciara O'Rourke,Says Alexandria Ocasio-Cortez compared smoking marijuana and transgender women in the Olympics.,Viral image,"July 9, 2021",false,FAKE,0
119,Ciara O'Rourke,A Canadian mayor said Muslims must integrate after they “demanded removal of pork in all school canteens in Montreal.”,Facebook posts,"July 9, 2021",false,FAKE,0
120,Tom Kertscher,"""Records suggest more than 100 batches of absentee ballots in Fulton County could be missing.""",Just the News,"July 9, 2021",false,FAKE,0
121,Brandon Mulder,"“In Texas, the power companies have automatically raised the temperature of people's thermostats in the middle of a heatwave without their permission.""",Tucker Carlson,"July 9, 2021",false,FAKE,0
122,Bill McCarthy,"“We know most of our forefathers, all of our main Founding Fathers were against slavery, recognized the evils of it.”",Kayleigh McEnany,"July 9, 2021",barely-true,FAKE,0
123,Emily Tian,Charcoal activated tablets “will counteract most date rape drugs.”,Facebook posts,"July 9, 2021",false,FAKE,0
124,Madeline Heim,“Wisconsin is 49th in public health spending.”,Jon Erpenbach,"July 9, 2021",half-true,FAKE,0
125,Gabrielle Settles,"Says George Floyd died ""because he had a system full of fentanyl and meth,"" and “beat women and held guns to their pregnant bellies.”",Facebook posts,"July 8, 2021",false,FAKE,0
126,Steven Rascón,“San Francisco Allowing Children to ‘Consent’ to Covid Vaccine Without Parents Approval.”,Facebook posts,"July 8, 2021",barely-true,FAKE,0
127,Louis Jacobson,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,"July 8, 2021",false,FAKE,0
128,Ciara O'Rourke,“Facebook said that if you support the NRA you will get kicked off.”,Facebook posts,"July 8, 2021",false,FAKE,0
129,Michael Majchrowicz,Jill Biden implied the COVID-19 pandemic was planned.,Instagram posts,"July 8, 2021",false,FAKE,0
130,Ciara O'Rourke,Says the Wyoming State Parks Department said it “discovered what looks like a giant root system stemming from the base of the Devils Tower.”,Facebook posts,"July 8, 2021",false,FAKE,0
131,Tom Kertscher,"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",Facebook posts,"July 8, 2021",false,FAKE,0
132,Tom Kertscher,Four pharmaceutical companies have questionable track records that suggest their COVID-19 vaccines aren’t safe.,Instagram posts,"July 8, 2021",half-true,FAKE,0
133,Andy Nguyen,Three white former police officers were sentenced to less prison time — combined — for killing three Black people than a Black man was for selling marijuana.,Instagram posts,"July 7, 2021",half-true,FAKE,0
134,Tom Kertscher,"""President Trump's net gain while in office $0, Nancy Pelosi's net gain while in office $191 million.""",Instagram posts,"July 7, 2021",half-true,FAKE,0
135,Ciara O'Rourke,Says Nancy Pelosi “won’t let Capitol police testify about what happened Jan. 6.”,Facebook posts,"July 7, 2021",false,FAKE,0
136,Tom Kertscher,The delta variant of the coronavirus “is approximately 19 times less deadly.”,Instagram posts,"July 7, 2021",barely-true,FAKE,0
137,Bill McCarthy,"“Fauci says there will be 'two Americas': One for vaccinated, one for unvaccinated.”",Instagram posts,"July 6, 2021",barely-true,FAKE,0
138,Samantha Putterman,Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,Facebook posts,"July 6, 2021",false,FAKE,0
139,Ciara O'Rourke,“Rebecca Washington is set to replace Sha’Carri Richardson on the U.S. Olympic team.”,Viral image,"July 6, 2021",false,FAKE,0
140,Natalie Dunlap,"The “Back the Blue” Act that Gov. Kim Reynolds signs means you can't wear the American flag. ""So throw out those towels and swimsuits ... or you’re a criminal!""",Greg Hauenstein,"July 6, 2021",false,FAKE,0
141,Ciara O'Rourke,“‘LOL’ stands for ‘Lucifer our Lord.’ Satanists end their prayers by saying ‘Lucifer our Lord’.”,Viral image,"July 6, 2021",false,FAKE,0
142,D.L. Davis,“In 2020 we won (Wisconsin).”,Donald Trump,"July 6, 2021",pants-fire,FAKE,0
143,Laura Schulte,Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”,Donald Trump,"July 5, 2021",pants-fire,FAKE,0
144,Kiannah Sepeda-Miller,Cook County’s criminal courts “have been shut down for 15 months.”,Lori Lightfoot,"July 4, 2021",false,FAKE,0
145,Jill Terreri,“40% of jobs in this country pay less than the average unemployment check of $750/week.”,Adriano Espaillat,"• July 3,",half-true,FAKE,0
146,Sasha Hupka,“California literally just told everyone to not charge their electric cars due to power shortage.”,Facebook posts,"July 2, 2021",false,FAKE,0
147,Samantha Putterman,Says the Make-A-Wish Foundation will grant wishes only to fully vaccinated children.,Instagram posts,"July 2, 2021",false,FAKE,0
148,Bill McCarthy,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""",Facebook posts,"July 2, 2021",false,FAKE,0
149,Jason Asenso,“The national debt is now bigger than our economy. That hasn’t happened since World War Two – and we’re in peacetime. Joe Biden is digging a hole America can never fill.”,Nikki Haley,"July 2, 2021",half-true,FAKE,0
150,Brandon Mulder,"“Carnage"" is being caused ""by people who are coming across the border.""",Greg Abbott,"July 2, 2021",false,FAKE,0
151,Tom Kertscher,"A “peer reviewed, scientific study showed that the COVID-19 vaccine causes two deaths for every three lives it saves.”",Liz Wheeler,"July 2, 2021",barely-true,FAKE,0
152,Madeline Heim,Says people are moving to Milwaukee “in record numbers”,Peter Feigin,"July 2, 2021",barely-true,FAKE,0
153,Samantha Putterman,A video shows an animal chip scanner detecting a microchip where a woman was vaccinated.,Instagram posts,"July 1, 2021",pants-fire,FAKE,0
154,Bill McCarthy,“Muslim BTS fan accidentally plays the song 'Dynamite' instead of Azaan on loudspeakers at 4am; gets arrested.”,Instagram posts,"July 1, 2021",pants-fire,FAKE,0
155,Lyle Muller,"""We’re not even remotely close to a point to say that we’re at rising inflation.""",Cindy Axne,"July 1, 2021",half-true,FAKE,0
156,Kelsey Sena,Says Nancy Pelosi “said Trump is BEST PRESIDENT ever” and “holds new election” for him,Facebook posts,"• June 30,",pants-fire,FAKE,0
157,Gabrielle Settles,A photo shows Mike Tyson wearing a T-shirt with an anti-vaccine message.,Facebook posts,"June 30, 2021",false,FAKE,0
158,Tom Kertscher,“CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.”,Instagram posts,"June 30, 2021",false,FAKE,0
159,Madeline Heim,Says Joe Biden “will force Americans to pay for abortion — on demand — up to birth.”,Derrick Van Orden,"June 30, 2021",barely-true,FAKE,0
160,Amy Sherman,“Military ready to act on audit results!” in Arizona,Facebook posts,"June 29, 2021",false,FAKE,0
161,Amy Sherman,“Facts have now come out to show conclusively” that the 2020 presidential election wasn’t legitimate.,Donald Trump,"June 29, 2021",pants-fire,FAKE,0
162,Jason Asenso,"Funeral directors say “no one is dying from COVID” and ""the only ones dying are from the vaccine.""",Instagram posts,"June 29, 2021",false,FAKE,0
163,Tom Kertscher,Says John McAfee tweeted before his death that he stored computer files in the Florida condo building that later collapsed.,Instagram posts,"June 28, 2021",false,FAKE,0
164,Kelsey Sena,“Airlines begin to ban vaccinated people after Pilots die due to vaccine”,Facebook posts,"• June 28,",false,FAKE,0
165,Andy Nguyen,"""Japan has banned all (Black Lives Matter) apparel from the Olympics. No one can kneel or raise fists during the anthems either.""",Facebook posts,"June 28, 2021",half-true,FAKE,0
166,Kiannah Sepeda-Miller,“Prairie State power plant is the cleanest coal-fired power plant in the nation.”,Rodney Davis,"June 27, 2021",pants-fire,FAKE,0
167,Michael Majchrowicz,A flag expressing support for police officers violates the U.S. Flag Code.,Facebook posts,"June 25, 2021",false,FAKE,0
168,Jon Greenberg,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”",Joe Biden,"June 25, 2021",false,FAKE,0
169,Samantha Putterman,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,Bloggers,"June 25, 2021",false,FAKE,0
170,Tom Kertscher,Says Ivanka Trump was targeted in the Florida condominium building collapse.,Facebook posts,"June 25, 2021",false,FAKE,0
171,Ciara O'Rourke,"Says Gov. Ron DeSantis “just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.”",Viral image,"June 25, 2021",false,FAKE,0
172,Tom Kertscher,mRNA technology in COVID-19 vaccines was never tested in humans.,Instagram posts,"June 25, 2021",false,FAKE,0
173,Brandon Mulder,"The intent behind the bill recognizing Juneteenth as a federal holiday ""is to replace the Fourth of July.”",Matthew Rosendale,"June 25, 2021",pants-fire,FAKE,0
174,Emily Tian,Says Eric Trump said he “raised nearly $30 million for children dying of cancer at St. Jude before the age of 30.”,Instagram posts,"June 25, 2021",false,FAKE,0
175,Amy Sherman,Sen. Raphael Warnock “voted for welfare for politicians plan. Up to $25 million of government money for Warnock’s own political campaign.”,National Republican Senatorial Committee,"June 25, 2021",false,FAKE,0
176,Isabella Fertel,"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts,"June 25, 2021",pants-fire,FAKE,0
177,Gabrielle Settles,"“Our legal president, President Trump, has signed a cease and desist order for the COVID vaccines.”",TikTok posts,"June 24, 2021",pants-fire,FAKE,0
178,Louis Jacobson,"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”",Facebook posts,"June 24, 2021",false,FAKE,0
179,Ciara O'Rourke,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,Viral image,"June 24, 2021",pants-fire,FAKE,0
180,Victoria Knight,“The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.”,Facebook posts,"June 24, 2021",false,FAKE,0
181,Amy Sherman,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump,"June 23, 2021",pants-fire,FAKE,0
