location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Brazil,BRA,2021-02-26,8101787,6346769,1755018,302787,223804,3.81,2.99,0.83,1053
Brazil,BRA,2021-02-27,8322042,6437836,1884206,220255,215553,3.92,3.03,0.89,1014
Brazil,BRA,2021-02-28,8433568,6518628,1914940,111526,211824,3.97,3.07,0.9,997
Brazil,BRA,2021-03-01,8465403,6542206,1923197,31835,205292,3.98,3.08,0.9,966
Brazil,BRA,2021-03-02,8841027,6806293,2034734,375624,220567,4.16,3.2,0.96,1038
Brazil,BRA,2021-03-03,9277322,7114219,2163103,436295,246521,4.36,3.35,1.02,1160
Brazil,BRA,2021-03-04,9739676,7417852,2321824,462354,277239,4.58,3.49,1.09,1304
Brazil,BRA,2021-03-05,10169160,7701146,2468014,429484,295339,4.78,3.62,1.16,1389
Brazil,BRA,2021-03-06,,,,,269398,,,,1267
Brazil,BRA,2021-03-07,,,,,258989,,,,1218
Brazil,BRA,2021-03-08,,,,,259965,,,,1223
Brazil,BRA,2021-03-09,,,,,211828,,,,997
Brazil,BRA,2021-03-10,10362487,7851531,2510956,,155024,4.88,3.69,1.18,729
Brazil,BRA,2021-03-11,10740859,8092244,2648615,378372,143026,5.05,3.81,1.25,673
Brazil,BRA,2021-03-12,11149530,8360366,2789164,408671,140053,5.25,3.93,1.31,659
Brazil,BRA,2021-03-13,11362190,8512960,2849230,212660,164909,5.35,4,1.34,776
Brazil,BRA,2021-03-14,11422666,8561847,2860819,60476,168025,5.37,4.03,1.35,790
Brazil,BRA,2021-03-15,11895560,8919356,2976204,472894,230058,5.6,4.2,1.4,1082
Brazil,BRA,2021-03-16,,,,,280729,,,,1321
Brazil,BRA,2021-03-17,12682290,9451188,3231102,,331400,5.97,4.45,1.52,1559
Brazil,BRA,2021-03-18,13013331,9709526,3303805,331041,324639,6.12,4.57,1.55,1527
Brazil,BRA,2021-03-19,13335728,9970231,3365497,322397,312314,6.27,4.69,1.58,1469
Brazil,BRA,2021-03-20,13479165,10099070,3380095,143437,302425,6.34,4.75,1.59,1423
Brazil,BRA,2021-03-21,13562176,10168973,3393203,83011,305644,6.38,4.78,1.6,1438
Brazil,BRA,2021-03-22,14116560,10609471,3507089,554384,317286,6.64,4.99,1.65,1493
Brazil,BRA,2021-03-23,15209201,11559487,3649714,1092641,417182,7.16,5.44,1.72,1963
Brazil,BRA,2021-03-24,15943964,12148769,3795195,734763,465953,7.5,5.72,1.79,2192
Brazil,BRA,2021-03-25,16557071,12639545,3917526,613107,506249,7.79,5.95,1.84,2382
Brazil,BRA,2021-03-26,17032868,13053114,3979754,475797,528163,8.01,6.14,1.87,2485
Brazil,BRA,2021-03-27,17519083,13487207,4031876,486215,577131,8.24,6.35,1.9,2715
Brazil,BRA,2021-03-28,17706983,13659406,4047577,187900,592115,8.33,6.43,1.9,2786
Brazil,BRA,2021-03-29,18082153,13988029,4094124,375170,566513,8.51,6.58,1.93,2665
Brazil,BRA,2021-03-30,18222559,14112509,4110050,140406,430480,8.57,6.64,1.93,2025
Brazil,BRA,2021-03-31,19155981,14921376,4234605,933422,458860,9.01,7.02,1.99,2159
Brazil,BRA,2021-04-01,,,,,476765,,,,2243
Brazil,BRA,2021-04-02,20632877,16099532,4533345,,514287,9.71,7.57,2.13,2419
Brazil,BRA,2021-04-03,20956770,16377083,4579687,323893,491098,9.86,7.7,2.15,2310
Brazil,BRA,2021-04-04,21070128,16472281,4597847,113358,480449,9.91,7.75,2.16,2260
Brazil,BRA,2021-04-05,21960953,17128933,4832020,890825,554114,10.33,8.06,2.27,2607
Brazil,BRA,2021-04-06,22850791,17791338,5059453,889838,661176,10.75,8.37,2.38,3111
Brazil,BRA,2021-04-07,24197996,18859274,5338722,1347205,720288,11.38,8.87,2.51,3389
Brazil,BRA,2021-04-08,24981199,19386057,5595142,783203,726681,11.75,9.12,2.63,3419
Brazil,BRA,2021-04-09,25735314,19886870,5848444,754115,728920,12.11,9.36,2.75,3429
Brazil,BRA,2021-04-10,26548845,20513828,6035017,813531,798868,12.49,9.65,2.84,3758
Brazil,BRA,2021-04-11,26741261,20654434,6086827,192416,810162,12.58,9.72,2.86,3811
Brazil,BRA,2021-04-12,27432994,21080623,6352371,691733,781720,12.91,9.92,2.99,3678
Brazil,BRA,2021-04-13,30801723,23602070,7199653,3368729,1135847,14.49,11.1,3.39,5344
Brazil,BRA,2021-04-14,31703967,24197321,7506646,902244,1072282,14.92,11.38,3.53,5045
Brazil,BRA,2021-04-15,,,,,1004792,,,,4727
Brazil,BRA,2021-04-16,,,,,941458,,,,4429
Brazil,BRA,2021-04-17,,,,,869635,,,,4091
Brazil,BRA,2021-04-18,32947066,24350046,8597020,,886544,15.5,11.46,4.04,4171
Brazil,BRA,2021-04-19,33755229,24776701,8978528,808163,903176,15.88,11.66,4.22,4249
Brazil,BRA,2021-04-20,33807132,24805515,9001617,51903,429344,15.9,11.67,4.23,2020
Brazil,BRA,2021-04-21,34058640,24918188,9140452,251508,336382,16.02,11.72,4.3,1583
Brazil,BRA,2021-04-22,35024957,25340967,9683990,966317,430031,16.48,11.92,4.56,2023
Brazil,BRA,2021-04-23,37112833,26398005,10714828,2087876,683902,17.46,12.42,5.04,3217
Brazil,BRA,2021-04-24,37730651,26687711,11042940,617818,727766,17.75,12.56,5.2,3424
Brazil,BRA,2021-04-25,38027113,26873143,11153970,296462,725721,17.89,12.64,5.25,3414
Brazil,BRA,2021-04-26,38986878,27345796,11641082,959765,747378,18.34,12.87,5.48,3516
Brazil,BRA,2021-04-27,40168799,27920546,12248253,1181921,908810,18.9,13.14,5.76,4276
Brazil,BRA,2021-04-28,41003659,28312000,12691659,834860,992146,19.29,13.32,5.97,4668
Brazil,BRA,2021-04-29,41989957,28778338,13211619,986298,995000,19.75,13.54,6.22,4681
Brazil,BRA,2021-04-30,42698862,29149512,13549350,708905,798004,20.09,13.71,6.37,3754
Brazil,BRA,2021-05-01,43036179,29336953,13699226,337317,757933,20.25,13.8,6.44,3566
Brazil,BRA,2021-05-02,43173356,29421191,13752165,137177,735178,20.31,13.84,6.47,3459
Brazil,BRA,2021-05-03,43962159,29865013,14097146,788803,710754,20.68,14.05,6.63,3344
Brazil,BRA,2021-05-04,45273825,30658945,14614880,1311666,729289,21.3,14.42,6.88,3431
Brazil,BRA,2021-05-05,46185689,31265483,14920206,911864,740290,21.73,14.71,7.02,3483
Brazil,BRA,2021-05-06,46542392,31504414,15037978,356703,650348,21.9,14.82,7.07,3060
Brazil,BRA,2021-05-07,46875460,31722544,15152916,333068,596657,22.05,14.92,7.13,2807
Brazil,BRA,2021-05-08,,,,,571797,,,,2690
Brazil,BRA,2021-05-09,,,,,575528,,,,2708
Brazil,BRA,2021-05-10,47365348,32101075,15264273,,486170,22.28,15.1,7.18,2287
